metric,source_id,missingness_tag,rationale
wdi_social_protection_index,WDI,ambiguous,130/213 coverage: social-protection data exists where systems exist (partly governance/development signal) but also reflects statistical-reporting capacity - genuinely mixed
climate_laws_cumulative,CLIMATE_LAWS,census,"absence is a real zero (event did not occur / arrangement does not exist), not missing data; zero-fill pre-penalty, penalty-exempt | D6 BUILD NOTE: stored with absent spine countries missing (not 0); D6 must zero-fill against the spine before scoring (absent country = real 0)"
cpj_imprisoned,CPJ,census,"absence is a real zero (event did not occur / arrangement does not exist), not missing data; zero-fill pre-penalty, penalty-exempt"
cpj_murders_unsolved,CPJ,census,"absence is a real zero (event did not occur / arrangement does not exist), not missing data; zero-fill pre-penalty, penalty-exempt"
pt_coup_failed,POWELL_THYNE,census,"absence is a real zero (event did not occur / arrangement does not exist), not missing data; zero-fill pre-penalty, penalty-exempt"
pt_coup_successful,POWELL_THYNE,census,"absence is a real zero (event did not occur / arrangement does not exist), not missing data; zero-fill pre-penalty, penalty-exempt"
ucdp_sb_intrastate_deaths_best,UCDP,census,"absence is a real zero (event did not occur / arrangement does not exist), not missing data; zero-fill pre-penalty, penalty-exempt"
wb_carbon_pricing_exists,WB_CARBON,census,census yes/no on whether carbon pricing exists; absence = 'no' = real 0 | D6 BUILD NOTE: stored with absent spine countries missing (not 0); D6 must zero-fill against the spine before scoring (absent country = real 0)
fatf_effectiveness,FATF,endogenous,"missing sovereigns are overwhelmingly failed/isolated/sanctioned states (Afghanistan, Somalia, Syria, Yemen, Libya, Sudan...) whose absence from the AML/CFT evaluation framework IS the governance signal C9 measures; 3 microstates are noise, not enough to downgrade from the dominant endogenous mechanism"
fatf_technical_compliance,FATF,endogenous,"missing sovereigns are overwhelmingly failed/isolated/sanctioned states (Afghanistan, Somalia, Syria, Yemen, Libya, Sudan...) whose absence from the AML/CFT evaluation framework IS the governance signal C9 measures; 3 microstates are noise, not enough to downgrade from the dominant endogenous mechanism"
fr_any_enforcement,IMF_FISCAL_RULES,endogenous,"absence of formal fiscal rules = weaker fiscal-policy framework, which is exactly what C8 rewards; the ~74 missing sovereigns span incapacity (Afghanistan) AND capable-state policy choice (Korea/Gulf) - both point the same direction (can't vs won't, same governance reading), so endogenous not ambiguous"
fr_compliance_mean,IMF_FISCAL_RULES,endogenous,"absence of formal fiscal rules = weaker fiscal-policy framework, which is exactly what C8 rewards; the ~74 missing sovereigns span incapacity (Afghanistan) AND capable-state policy choice (Korea/Gulf) - both point the same direction (can't vs won't, same governance reading), so endogenous not ambiguous"
fr_max_legal_basis,IMF_FISCAL_RULES,endogenous,"absence of formal fiscal rules = weaker fiscal-policy framework, which is exactly what C8 rewards; the ~74 missing sovereigns span incapacity (Afghanistan) AND capable-state policy choice (Korea/Gulf) - both point the same direction (can't vs won't, same governance reading), so endogenous not ambiguous"
fr_num_rule_types,IMF_FISCAL_RULES,endogenous,"absence of formal fiscal rules = weaker fiscal-policy framework, which is exactly what C8 rewards; the ~74 missing sovereigns span incapacity (Afghanistan) AND capable-state policy choice (Korea/Gulf) - both point the same direction (can't vs won't, same governance reading), so endogenous not ambiguous"
spi_overall,IMF_SPI,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
obs_open_budget_index,OBS,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
odin_openness,ODIN,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
odin_overall,ODIN,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
pefa_accountability,PEFA,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
pefa_core_management,PEFA,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
